,,,,
410,Red-legged Thrush,null,null,null
411,Varied Thrush,null,null,null
412,Gray Catbird,null,null,null
413,Curve-billed Thrasher,null,null,null
414,Brown Thrasher,null,null,null
415,Sage Thrasher,null,null,null
416,Bahama Mockingbird,null,null,null
417,Northern Mockingbird,null,null,null
418,European Starling,null,null,null
419,Common Myna,null,null,null
420,Cedar Waxwing,null,null,null
421,Scaly-breasted Munia,null,null,null
422,Tricolored Munia,null,null,null
423,House Sparrow,null,null,null
424,Eastern Yellow Wagtail,null,null,null
425,White Wagtail,null,null,null
426,American Pipit,null,null,null
427,Sprague's Pipit,null,null,null
428,Evening Grosbeak,null,null,null
429,House Finch,null,null,null
430,Purple Finch,null,null,null
431,Common Redpoll,null,null,null
432,Red Crossbill,null,null,null
433,Pine Siskin,null,null,null
434,Lesser Goldfinch,null,null,null
435,American Goldfinch,null,null,null
436,Lapland Longspur,null,null,null
437,Chestnut-collared Longspur,null,null,null
438,Smith’s Longspur,null,null,null
439,Snow Bunting,null,null,null
440,Bachman's Sparrow,null,null,null
441,Grasshopper Sparrow,null,null,null
442,Grasshopper Sparrow,null,null,null
443,Black-throated Sparrow,null,null,null
444,Lark Sparrow,null,null,null
445,Lark Bunting,null,null,null
446,Chipping Sparrow,null,null,null
447,Clay-colored Sparrow,null,null,null
448,Field Sparrow,null,null,null
449,Fox Sparrow,null,null,null
450,American Tree Sparrow,null,null,null
451,Dark-eyed Junco,null,null,null
452,Dark-eyed Junco,null,null,null
453,White-crowned Sparrow,null,null,null
454,Golden-crowned Sparrow,null,null,null
455,Harris's Sparrow,null,null,null
456,White-throated Sparrow,null,null,null
457,Vesper Sparrow,null,null,null
458,LeConte's Sparrow,null,null,null
459,Seaside Sparrow,null,null,null
460,Nelson's Sparrow,null,null,null
461,Saltmarsh Sparrow,null,null,null
462,Henslow's Sparrow,null,null,null
463,Savannah Sparrow,null,null,null
464,Song Sparrow,null,null,null
465,Lincoln's Sparrow,null,null,null
466,Swamp Sparrow,null,null,null
467,Green-tailed Towhee,null,null,null
468,Spotted Towhee,null,null,null
469,Eastern Towhee,null,null,null
470,Western Spindalis,null,null,null
471,Yellow-breasted Chat,null,null,null
472,Yellow-headed Blackbird,null,null,null
473,Bobolink,null,null,null
474,Eastern Meadowlark,null,null,null
475,Western Meadowlark,null,null,null
476,Orchard Oriole,null,null,null
477,Hooded Oriole,null,null,null
478,Bullock's Oriole,null,null,null
479,Spot-breasted Oriole,null,null,null
480,Baltimore Oriole,null,null,null
481,Scott's Oriole,null,null,null
482,Red-winged Blackbird,null,null,null
483,Tawny-shouldered Blackbird,null,null,null
484,Shiny Cowbird,null,null,null
485,Bronzed Cowbird,null,null,null
486,Brown-headed Cowbird,null,null,null
487,Rusty Blackbird,null,null,null
488,Brewer's Blackbird,null,null,null
489,Common Grackle,null,null,null
490,Boat-tailed Grackle,null,null,null
491,Ovenbird,null,null,null
492,Worm-eating Warbler,null,null,null
493,Louisiana Waterthrush,null,null,null
494,Northern Waterthrush,null,null,null
495,Bachman's Warbler,null,null,null
496,Golden-winged Warbler,null,null,null
497,Blue-winged Warbler,null,null,null
498,Black-and-white Warbler,null,null,null
499,Prothonotary Warbler,null,null,null
500,Swainson's Warbler,null,null,null
501,Tennessee Warbler,null,null,null
502,Orange-crowned Warbler,null,null,null
503,Nashville Warbler,null,null,null
504,Connecticut Warbler,null,null,null
505,MacGillivray's Warbler,null,null,null
506,Mourning Warbler,null,null,null
507,Kentucky Warbler,null,null,null
508,Common Yellowthroat,null,null,null
509,Hooded Warbler,null,null,null
510,American Redstart,null,null,null
511,Kirtland's Warbler,null,null,null
512,Cape May Warbler,null,null,null
513,Cerulean Warbler,null,null,null
514,Northern Parula,null,null,null
515,Magnolia Warbler,null,null,null
516,Bay-breasted Warbler,null,null,null
517,Blackburnian Warbler,null,null,null
518,Yellow Warbler,null,null,null
519,Chestnut-sided Warbler,null,null,null
520,Blackpoll Warbler,null,null,null
521,Black-throated Blue Warbler,null,null,null
522,Palm Warbler,null,null,null
523,Pine Warbler,null,null,null
524,Yellow-rumped Warbler,null,null,null
525,Yellow-rumped Warbler,null,null,null
526,Yellow-throated Warbler,null,null,null
527,Prairie Warbler,null,null,null
528,Black-throated Gray Warbler,null,null,null
529,Townsend's Warbler,null,null,null
530,Hermit Warbler,null,null,null
531,Golden-cheeked Warbler,null,null,null
532,Black-throated Green Warbler,null,null,null
533,Canada Warbler,null,null,null
534,Wilson's Warbler,null,null,null
535,Summer Tanager,null,null,null
536,Scarlet Tanager,null,null,null
537,Western Tanager,null,null,null
538,Northern Cardinal,null,null,null
539,Rose-breasted Grosbeak,null,null,null
540,Black-headed Grosbeak,null,null,null
541,Blue Grosbeak,null,null,null
542,Lazuli Bunting,null,null,null
543,Indigo Bunting,null,null,null
544,Varied Bunting,null,null,null
545,Painted Bunting,null,null,null
546,Dickcissel,null,null,null
547,Bananaquit,null,null,null
548,Yellow-faced Grassquit,null,null,null
549,Black-faced Grassquit,null,null,null
